NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
811212,ID,33469,36517,36078,38585,40643,38829,34959,35536,38057,39554,36992
811213,ID,52555,46297,52958,48328,44764,42484,38643,33963,32195,34165,27791
10,IL,320445,313517,308975,300199,288902,278561,270046,258346,251718,243540,234263
11,IL,31109,31061,30550,28786,28114,27297,26335,24806,24872,24299,24061
323115,IL,50656,48710,51849,50841,54003,48598,47051,44159,43288,42724,40221
33411,IL,77123,74020,80209,76359,74164,71160,71272,66415,63334,62322,75061
334611,IL,71731,68852,76216,73426,78415,71751,62383,64776,71248,68528,69896
423430,IL,111067,104139,103561,102020,96627,94457,92778,91205,89219,89670,89525
425110,IL,55083,57032,58059,56977,55436,55895,51605,52369,52967,57344,55670
443120,IL,81401,71708,73752,108649,74896,68830,69209,62379,68183,65672,67432
454111,IL,44240,42049,43867,42809,39205,41480,39564,34606,0,0,*
51,IL,130155,139212,142051,141321,135419,111270,126704,102106,94287,69972,70723
511210,IL,104604,117861,95210,92578,95553,85350,82814,78286,77182,78067,78601
518,IL,86627,82652,91771,83124,71667,73600,63784,66220,64944,67134,69899
519130,IL,87882,82668,84523,80217,*,*,*,*,*,*,*
52,IL,250367,240529,240970,232114,221388,215518,206337,196556,189285,184024,174364
522320,IL,57470,57937,63647,60587,57695,52057,49334,49205,48454,43533,41599
54151,IL,139844,133808,132696,132961,127608,125798,124774,125726,122038,121916,121471
611420,IL,55010,52645,48857,45167,43714,41203,43868,44515,46612,50904,48911
811212,IL,44130,49342,49953,50333,48057,46257,48059,46493,44630,44171,42558
811213,IL,44912,44176,46621,45878,41855,35898,36067,33102,30646,31011,29894
10,IN,254844,252394,249749,243548,236402,228955,224038,214244,209907,202991,195694
11,IN,30452,30137,30305,28007,26927,26007,25494,24571,24436,23570,22418
323115,IN,36343,38227,37292,37732,37658,38371,39652,38099,39423,36779,36563
33411,IN,35745,34241,30770,37375,32689,0,0,33077,35544,36345,36304
334611,IN,115538,72828,75798,78504,0,0,0,0,0,0,*
423430,IN,95286,87931,86265,82734,77119,74016,72767,71261,69470,67919,64959
425110,IN,40613,41331,47335,49630,36085,35870,37186,41968,39355,39388,42226
443120,IN,41471,41678,35059,33528,34883,37116,39235,36462,36917,37014,35433
454111,IN,36141,37139,36548,35500,34132,33683,30922,26664,24616,23633,*
51,IN,69545,68182,67512,65725,63863,62511,62108,58448,56290,54855,53712
511210,IN,83277,98079,84289,90917,89430,86008,82336,80144,72494,75840,72278
518,IN,60075,61350,57940,57601,54159,52277,50673,47904,44733,44607,43401
519130,IN,60796,61871,60276,55619,*,*,*,*,*,*,*
52,IN,131761,125060,125319,122596,118798,118216,112696,106645,102809,98204,92850
522320,IN,44697,46714,44763,49560,47379,42285,42143,42814,45100,56783,37873
54151,IN,71999,69900,68937,66655,64118,63306,61388,58705,58983,59207,57442
611420,IN,49476,49442,53143,54824,55498,47763,47092,43731,40231,38271,34401
811212,IN,36281,35811,36547,39005,35551,35891,34332,34620,33910,31141,28582
811213,IN,44675,43760,42691,41421,39137,38627,37767,37709,37459,36560,35755
10,IA,265946,262283,257132,247174,237365,227565,221652,213293,206695,198917,191591
11,IA,31359,31021,30189,28394,27012,26304,25529,24113,23202,22455,21585
323115,IA,32529,32627,31905,30055,29654,28321,29502,28355,47107,34463,32784
33411,IA,74169,73072,75105,70393,68708,68716,70692,65992,64446,62025,59297
334611,IA,0,109082,0,0,0,58977,55895,57935,61931,66863,*
423430,IA,77171,70139,72729,74050,69060,69746,70820,64485,63326,57242,56247
425110,IA,53068,60757,56435,50716,51089,60757,53260,49405,47544,46611,41208
443120,IA,49329,48912,46031,44308,43997,41433,40907,40595,39987,40871,37945
