NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
11,IA,1905,1834,1753,1671,1605,1529,1525,1524,1489,1500,1540
323115,IA,21,20,19,19,20,18,18,16,19,19,22
33411,IA,8,8,8,10,10,10,8,10,9,13,21
334611,IA,2,4,6,6,9,9,12,14,18,25,*
423430,IA,62,65,65,60,58,57,58,66,75,69,74
425110,IA,36,40,45,45,49,52,65,71,79,81,89
443120,IA,141,146,156,161,180,187,197,215,230,254,310
454111,IA,79,73,60,56,43,35,23,19,20,21,*
51,IA,1692,1732,1782,1794,1842,1838,1880,1826,1832,1928,1969
511210,IA,52,51,52,56,59,60,64,65,73,83,100
518,IA,143,144,155,143,212,213,220,210,219,244,249
519130,IA,34,34,38,38,*,*,*,*,*,*,*
52,IA,6291,6310,6424,6429,6363,6264,6204,6046,5864,5750,5825
522320,IA,39,27,28,25,25,44,42,39,20,16,19
54151,IA,1473,1484,1376,1217,1123,1007,944,887,844,892,887
611420,IA,27,24,28,25,26,27,30,24,0,0,*
811212,IA,74,74,84,79,73,70,63,52,47,51,53
811213,IA,30,28,27,26,26,26,27,32,23,23,24
10,KS,179536,180086,178156,175430,171655,170690,167839,168445,168286,165899,166064
11,KS,1241,1172,1119,1072,1048,1047,1030,1036,1038,1013,1000
323115,KS,23,18,18,17,12,9,7,0,0,0,6
33411,KS,9,8,10,9,10,12,16,15,18,20,18
334611,KS,2,3,4,2,3,4,3,0,0,7,*
423430,KS,82,91,107,104,103,101,104,119,133,144,131
425110,KS,42,57,59,64,70,66,65,81,98,104,101
443120,KS,135,135,147,166,172,166,179,187,216,246,276
454111,KS,101,107,94,78,72,68,67,0,0,28,*
51,KS,1635,1654,1661,1650,1615,1670,1649,1659,1694,1729,1784
511210,KS,70,66,67,50,54,58,62,69,88,94,84
518,KS,110,112,108,104,154,157,150,165,190,205,212
519130,KS,45,44,40,31,*,*,*,*,*,*,*
52,KS,5892,5953,5956,5954,5898,5798,5594,5396,5365,5312,5326
522320,KS,42,44,40,38,41,36,29,28,32,37,31
54151,KS,1834,1760,1600,1459,1393,1373,1336,1328,1305,1311,1171
611420,KS,29,30,29,27,27,27,26,26,0,0,*
811212,KS,70,71,75,80,89,90,84,86,92,99,96
811213,KS,40,47,50,51,32,28,28,32,31,28,28
10,KY,226250,222088,228737,235044,226077,217526,216057,217057,222113,221723,221388
11,KY,956,931,923,928,898,856,845,863,897,910,899
323115,KY,23,23,26,27,21,20,22,22,18,18,16
33411,KY,13,12,11,9,9,8,8,0,0,0,*
334611,KY,1,1,1,1,1,*,*,*,0,0,*
423430,KY,114,100,82,81,83,89,90,101,121,121,119
425110,KY,44,47,54,59,59,60,68,94,116,120,129
443120,KY,174,159,156,172,182,194,220,233,266,283,310
454111,KY,55,50,56,56,41,32,24,17,0,0,*
51,KY,1809,1777,1818,1850,1820,1760,1804,1849,1921,1824,1775
511210,KY,48,48,51,55,55,39,30,24,25,26,26
518,KY,171,159,151,153,215,199,213,227,253,260,231
519130,KY,62,48,45,39,*,*,*,*,*,*,*
52,KY,6641,6659,6758,6858,6482,6216,6056,5930,6016,6066,5979
522320,KY,102,90,86,88,65,55,47,46,42,36,37
54151,KY,1857,1665,1570,1591,1434,1258,1263,1294,1306,1278,1162
611420,KY,14,16,22,28,27,29,28,0,0,0,*
811212,KY,109,105,111,113,106,96,97,111,112,109,101
811213,KY,37,37,36,39,35,36,34,32,32,30,37
10,LA,263463,256097,253948,246257,248739,244405,237446,237033,236297,237464,240333
11,LA,1500,1470,1489,1483,1550,1568,1572,1599,1617,1644,1659
323115,LA,29,23,22,21,21,21,18,19,20,18,15
33411,LA,6,5,5,5,4,5,7,0,0,0,*
334611,LA,6,7,7,8,9,9,9,0,15,21,25
423430,LA,91,91,92,87,86,99,98,105,112,125,130
425110,LA,39,50,52,61,60,65,76,92,105,110,110
443120,LA,181,179,193,199,223,219,228,231,255,255,264
454111,LA,108,97,81,63,58,43,25,17,13,0,9
51,LA,1841,1834,1828,1697,1741,1768,1706,1729,1733,1714,1746
511210,LA,53,56,60,56,49,49,52,56,67,82,93
518,LA,179,174,161,160,235,252,249,264,277,287,274
519130,LA,58,50,39,39,*,*,*,*,*,*,*
52,LA,8323,8181,8309,8250,8240,8142,7780,7674,7592,7617,7874
522320,LA,112,110,111,114,132,129,64,58,30,32,25
54151,LA,1321,1218,1155,1094,1056,971,870,850,848,845,832
611420,LA,26,23,25,23,26,27,30,29,29,29,34
811212,LA,112,107,114,112,125,120,96,92,88,73,72
811213,LA,36,34,34,34,34,34,34,35,28,26,28
10,ME,101495,102865,105260,103878,101500,99807,102248,97051,95905,95387,92728
11,ME,1089,1099,1128,1114,1087,1056,1090,1017,1014,1033,1021
323115,ME,5,5,4,4,4,4,5,0,0,5,*
33411,ME,*,*,*,1,2,2,1,0,0,0,*
334611,ME,*,1,1,1,1,1,*,0,0,0,*
423430,ME,45,52,53,54,51,51,60,66,71,81,84
425110,ME,14,16,14,14,17,20,29,32,38,50,51
443120,ME,46,45,43,43,51,51,57,60,63,68,78
454111,ME,58,59,52,42,37,33,30,22,24,17,*
51,ME,758,779,840,818,841,841,863,806,805,832,813
511210,ME,24,22,21,19,21,20,21,20,22,22,25
518,ME,51,53,51,45,90,80,86,78,82,88,75
519130,ME,35,30,26,24,*,*,*,*,*,*,*
52,ME,2098,2140,2167,2152,2093,2057,2056,1971,1943,1890,1778
522320,ME,22,30,26,24,22,19,21,17,17,16,14
54151,ME,1020,996,934,881,829,771,747,610,627,652,600
611420,ME,13,15,15,16,19,19,21,0,0,10,*
811212,ME,39,50,53,57,56,56,51,46,43,39,40
811213,ME,13,11,11,12,12,12,13,11,12,12,*
10,MD,330778,331772,335170,337412,329178,323296,313303,302681,301049,296157,293693
11,MD,588,589,597,610,624,619,618,598,599,579,595
323115,MD,48,48,46,44,35,35,24,0,14,14,*
33411,MD,31,27,28,27,25,30,30,0,0,0,*
334611,MD,16,19,22,22,27,38,50,63,66,52,56
423430,MD,325,337,342,369,392,438,489,575,681,655,598
425110,MD,138,140,132,135,135,157,157,147,144,149,124
443120,MD,264,286,426,459,442,446,429,450,490,566,653
454111,MD,229,225,231,220,170,126,94,67,48,32,26
51,MD,2708,2725,2764,2871,2878,2899,2925,2885,2984,2921,2673
511210,MD,261,263,249,251,205,180,143,109,99,94,98
518,MD,325,320,348,346,563,592,633,680,770,759,611
519130,MD,111,108,109,115,*,*,*,*,*,*,*
52,MD,8237,8652,8763,8787,8483,8281,7908,7395,7191,7152,7109
522320,MD,125,122,116,119,118,115,96,69,70,64,50
54151,MD,6883,6522,6128,5928,5416,5166,5025,4832,4904,4867,4554
611420,MD,85,91,90,88,86,100,115,119,138,150,135
811212,MD,150,157,160,172,175,177,187,164,150,133,129
811213,MD,34,28,25,27,30,32,35,33,38,35,36
10,MA,446603,432656,432045,427022,421321,434613,426224,413359,400926,389268,385167
11,MA,945,909,920,931,941,988,991,992,976,957,953
323115,MA,56,55,51,46,48,46,43,36,31,24,24
33411,MA,75,79,79,77,85,91,91,87,98,112,110
334611,MA,8,10,9,10,16,22,26,35,40,50,58
423430,MA,336,336,353,385,399,471,500,633,633,564,511
