OCC,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
49-2011,CO,39490,42240,43310,41600,39000,39810,38190,39010,37290,34740,34190
51-4011,CO,37920,38320,36090,32870,31260,30960,31660,31190,30640,31770,30830
51-4012,CO,39600,50720,52040,48930,51320,47810,45950,43060,47010,46350,46690
11-3021,CT,112980,113570,116370,113590,109100,107890,108500,109390,103520,95190,91990
13-0000,CT,77270,74700,73010,70740,68540,66520,66000,65630,62260,58830,55970
13-1081,CT,72600,74650,72970,64400,65960,65060,64090,*,*,*,*
13-1111,CT,88830,86820,89150,84940,84660,78740,80040,79790,77160,71930,67610
15-0000,CT,79720,80420,78520,76860,73640,71550,70230,68960,65540,64050,60840
15-1011,CT,*,108040,116750,113880,104690,94700,94250,92270,85740,81950,80560
15-1021,CT,*,82310,83730,81980,77560,73160,72190,72280,68720,67110,63330
15-1031,CT,*,88470,87530,86020,84630,80250,77520,74010,73670,75320,71380
15-1032,CT,*,94970,91660,86310,84910,83210,80660,78660,71770,68910,65250
15-1041,CT,*,55920,51510,51150,51270,49610,48130,46420,45970,45130,43950
15-1051,CT,*,87600,84970,81440,77310,74040,73000,71220,67860,65950,65280
15-1061,CT,*,76090,73520,75570,73490,73750,71720,69180,62510,62330,54520
15-1071,CT,*,73400,71260,71790,66990,67090,68030,66910,63860,63080,59060
15-1081,CT,*,74490,76080,73100,68390,67150,67900,69400,65460,62370,61200
15-1099,CT,*,76440,67710,66550,71520,66900,67310,*,*,*,*
15-1111,CT,96980,*,*,*,*,*,*,*,*,*,*
15-1121,CT,86840,*,*,*,*,*,*,*,*,*,*
15-1131,CT,76430,*,*,*,*,*,*,*,*,*,*
15-1132,CT,89750,*,*,*,*,*,*,*,*,*,*
15-1133,CT,97960,*,*,*,*,*,*,*,*,*,*
15-1141,CT,76760,*,*,*,*,*,*,*,*,*,*
15-1142,CT,75300,*,*,*,*,*,*,*,*,*,*
15-1150,CT,60200,*,*,*,*,*,*,*,*,*,*
15-1179,CT,76540,*,*,*,*,*,*,*,*,*,*
15-1799,CT,77840,*,*,*,*,*,*,*,*,*,*
15-2031,CT,78830,80920,71270,71360,71000,77180,69530,61620,62410,63050,60220
17-0000,CT,75050,73710,71730,69200,66400,64490,64280,61540,59410,57730,55790
17-2061,CT,83690,81490,80560,75190,74230,74300,82610,77140,73220,70270,68300
17-2112,CT,78380,76100,77400,77040,73240,69320,69470,66160,65690,62960,60660
17-3026,CT,57440,56370,55420,54850,52770,50030,48950,47810,44700,48000,46740
19-0000,CT,73790,71180,68690,68800,67280,67300,65370,61900,60920,60500,55400
25-1021,CT,77840,72240,72310,70680,67000,68740,63560,-1,*,64990,63580
27-0000,CT,55510,53500,51360,48740,48530,47930,47470,47280,46490,45700,43440
27-1014,CT,62410,56230,58730,48470,48740,46440,50150,55520,55090,56210,56760
27-1024,CT,57040,55780,53500,50190,47580,46760,48060,44740,42940,42770,40630
27-3042,CT,61890,58910,58510,60000,60500,57830,57440,50490,53860,52270,52460
29-2071,CT,38450,36350,35710,36250,36950,35010,34390,31980,32270,32040,29200
41-4011,CT,84550,80630,80790,82170,82370,80140,79430,78220,75690,71900,71830
43-9011,CT,43630,44230,42720,41810,39840,37530,37270,36310,34160,34150,32340
43-9021,CT,33640,32390,30660,29790,29120,28070,27950,27600,26760,25910,24700
43-9031,CT,48820,45410,42860,39280,40420,38540,37650,35970,33080,37000,39010
45-0000,CT,32870,33800,32580,29020,27090,25790,24370,23810,29710,23370,22540
49-2011,CT,44650,46830,47340,46440,45290,43180,42360,40650,38810,39140,37460
51-4011,CT,38450,38920,40440,39870,39060,37780,38120,36420,34930,33490,32070
51-4012,CT,54790,52350,49840,48720,45530,44470,42910,44570,46580,47080,47290
11-3021,DE,130540,129560,129460,125250,115950,103910,104840,102250,91570,79780,73220
13-0000,DE,67320,65540,64310,61480,61640,57790,59510,56970,50940,50640,49420
13-1081,DE,78510,78820,73190,74050,63960,65560,65710,*,*,*,*
13-1111,DE,80950,84620,81210,84700,88660,79440,83730,82720,63840,66090,68620
15-0000,DE,77080,77570,77790,75320,73210,65340,68060,68150,63310,63400,62020
15-1011,DE,*,83340,104720,98370,103180,*,*,*,*,*,*
15-1021,DE,*,74560,76420,73290,77970,69320,69270,73750,71680,71070,73470
15-1031,DE,*,90560,90240,82810,80390,75660,81880,87590,73580,73440,67270
15-1032,DE,*,93790,100550,96240,90680,73450,72720,73090,77890,71650,73390
15-1041,DE,*,54630,55940,55520,52280,50690,52070,51800,47050,42400,40280
15-1051,DE,*,83050,83510,84130,79100,69960,74540,71140,67250,65070,64220
15-1061,DE,*,83560,76720,74070,68480,66470,65600,65320,61620,59100,54800
15-1071,DE,*,65500,71950,72440,73790,63260,67930,67240,64520,61560,51470
15-1081,DE,*,84110,80480,69620,68430,59460,67580,65300,65480,68090,60740
15-1099,DE,*,66880,66830,70060,69050,70000,63260,*,*,*,*
15-1111,DE,85720,*,*,*,*,*,*,*,*,*,*
15-1121,DE,80040,*,*,*,*,*,*,*,*,*,*
15-1131,DE,78860,*,*,*,*,*,*,*,*,*,*
15-1132,DE,84640,*,*,*,*,*,*,*,*,*,*
15-1133,DE,98110,*,*,*,*,*,*,*,*,*,*
15-1141,DE,82020,*,*,*,*,*,*,*,*,*,*
15-1142,DE,68650,*,*,*,*,*,*,*,*,*,*
15-1150,DE,51310,*,*,*,*,*,*,*,*,*,*
15-1179,DE,82500,*,*,*,*,*,*,*,*,*,*
15-1799,DE,69910,*,*,*,*,*,*,*,*,*,*
15-2031,DE,68660,63540,75610,76170,74110,79060,79660,*,*,61630,58830
17-0000,DE,75780,77020,72120,69970,67930,66740,64390,59980,56440,56240,53760
17-2061,DE,67750,66270,72130,75770,75280,74120,76790,71900,71370,67760,72170
17-2112,DE,88040,85460,78360,77200,75610,79270,71840,71490,65610,61930,61810
17-3026,DE,48750,46520,45400,50310,54780,56810,53790,48160,47010,41250,40690
19-0000,DE,71480,70430,69150,69060,68820,63150,60070,57160,54300,59120,57900
25-1021,DE,*,*,*,83430,77680,74990,76380,73070,63160,62670,59020
27-0000,DE,48980,52260,51090,44760,41510,40170,39730,36620,39080,37220,38280
27-1014,DE,*,44900,44360,40900,*,*,*,*,*,*,21840
27-1024,DE,48410,48420,43430,42340,45810,45130,45970,41060,37520,35070,32760
27-3042,DE,62590,58940,54720,57070,55840,54580,53220,52930,54780,49540,43580
29-2071,DE,33330,31840,31660,30900,30170,28670,28530,26100,26340,25830,23830
41-4011,DE,89790,85160,92290,91220,92080,79620,76700,66750,56050,54890,51940
43-9011,DE,39360,38070,40920,37880,37150,30610,33680,32810,31110,31010,28730
43-9021,DE,27050,26630,26050,26370,25440,25110,24060,22590,23650,23360,22460
43-9031,DE,36520,40890,34910,*,34270,35620,33380,34310,30460,28510,29360
45-0000,DE,31420,32310,32010,31280,28140,24640,23880,24950,24370,23490,22740
49-2011,DE,31830,34550,37630,36890,37460,33330,35960,36630,33780,32380,28170
51-4011,DE,34500,33740,33450,34100,39120,35210,42960,*,*,*,31530
11-3021,DC,129040,129820,125370,118380,111760,102780,102170,97410,92000,87410,84070
13-0000,DC,86060,83700,81000,77320,74650,75620,73230,68230,65490,61620,58980
13-1081,DC,91690,88970,81690,82550,79660,69820,67780,*,*,*,*
13-1111,DC,89860,88260,82960,78150,75280,79470,77490,69970,69430,62890,59630
15-0000,DC,87760,86360,82660,78100,75080,72180,71580,68990,67430,61760,61160
15-1011,DC,*,111100,107440,99640,95070,93840,90170,90320,81710,75420,71680
