OCC;STATE;METROS;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
27-3042;AL;Anniston-Oxford, AL;*;*;*;52240;*;*;*;*;*;*;*
29-2071;AL;Anniston-Oxford, AL;28030;28770;28900;27480;20800;19630;*;*;*;*;*
43-9021;AL;Anniston-Oxford, AL;26950;*;*;*;24380;22890;*;*;*;*;*
45-0000;AL;Anniston-Oxford, AL;*;25470;*;*;24880;24550;*;*;*;*;*
49-2011;AL;Anniston-Oxford, AL;*;32950;31630;29960;25840;27080;*;*;*;*;*
51-4011;AL;Anniston-Oxford, AL;34330;30880;30510;29100;25930;25320;*;*;*;*;*
00-0000;AL;Auburn-Opelika, AL;37260;36440;33130;31690;30770;29900;*;*;*;*;*
11-3021;AL;Auburn-Opelika, AL;101940;102950;100590;98570;84940;74210;*;*;*;*;*
13-0000;AL;Auburn-Opelika, AL;57030;54510;55210;51460;50070;46790;*;*;*;*;*
13-1081;AL;Auburn-Opelika, AL;66810;66580;63810;*;*;*;*;*;*;*;*
13-1111;AL;Auburn-Opelika, AL;92410;94550;89990;69970;*;*;*;*;*;*;*
15-0000;AL;Auburn-Opelika, AL;56220;57700;55160;47610;49940;47390;*;*;*;*;*
15-1021;AL;Auburn-Opelika, AL;*;58870;69830;*;80210;58820;*;*;*;*;*
15-1032;AL;Auburn-Opelika, AL;*;*;*;72190;*;69330;*;*;*;*;*
15-1041;AL;Auburn-Opelika, AL;*;40540;37250;29900;31850;*;*;*;*;*;*
15-1051;AL;Auburn-Opelika, AL;*;62670;64720;65470;*;*;*;*;*;*;*
15-1071;AL;Auburn-Opelika, AL;*;68460;61830;59520;*;46880;*;*;*;*;*
15-1099;AL;Auburn-Opelika, AL;*;50500;55810;54260;*;25800;*;*;*;*;*
15-1121;AL;Auburn-Opelika, AL;60550;*;*;*;*;*;*;*;*;*;*
15-1142;AL;Auburn-Opelika, AL;69490;*;*;*;*;*;*;*;*;*;*
15-1150;AL;Auburn-Opelika, AL;39490;*;*;*;*;*;*;*;*;*;*
17-0000;AL;Auburn-Opelika, AL;62380;60100;56220;54000;54340;48880;*;*;*;*;*
17-2112;AL;Auburn-Opelika, AL;77310;72780;71510;58670;58300;*;*;*;*;*;*
17-3026;AL;Auburn-Opelika, AL;*;*;45820;*;*;*;*;*;*;*;*
19-0000;AL;Auburn-Opelika, AL;56120;58780;50970;50780;*;*;*;*;*;*;*
27-0000;AL;Auburn-Opelika, AL;51570;51450;43210;43280;42090;37960;*;*;*;*;*
27-1024;AL;Auburn-Opelika, AL;46640;44220;37130;*;33790;28130;*;*;*;*;*
29-2071;AL;Auburn-Opelika, AL;28600;28600;25480;25420;*;*;*;*;*;*;*
