NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
518,IN,1649,1545,1630,1725,2165,2151,2343,2571,2658,3168,3524
519130,IN,337,358,404,310,*,*,*,*,*,*,*
52,IN,93221,95073,98524,99911,100157,100184,102040,104157,102962,105170,106351
522320,IN,1199,1104,995,861,838,819,759,669,628,633,1319
54151,IN,16897,15995,16123,15165,13841,12937,12549,12301,12502,13410,13596
611420,IN,87,149,174,159,147,143,149,162,204,260,273
811212,IN,1189,1172,1046,845,816,740,650,619,563,702,714
811213,IN,273,270,290,298,296,296,289,282,333,367,340
10,IA,3107856,3128549,3216855,3204494,3171891,3121217,3072093,3035630,3050947,3086881,3105245
11,IA,16215,15680,15470,14999,14155,13584,12807,12177,12246,12026,11251
323115,IA,217,225,233,229,223,195,192,190,413,854,1035
33411,IA,358,360,425,424,462,470,483,509,527,659,468
334611,IA,0,10,0,0,0,18,30,43,54,47,*
423430,IA,686,614,556,518,514,492,482,476,488,483,520
425110,IA,93,134,148,179,293,347,457,500,535,543,624
443120,IA,946,969,1013,1079,1267,1298,1359,1506,1779,1930,2166
454111,IA,0,0,0,0,177,109,66,43,38,109,*
51,IA,29188,31045,33938,34138,33484,33836,34191,34182,35777,38052,40926
511210,IA,837,795,814,840,758,715,743,795,805,836,1331
518,IA,5417,5902,7466,7458,7691,7913,7955,7829,8501,9013,9860
519130,IA,220,245,440,411,*,*,*,*,*,*,*
52,IA,88706,89169,89674,89042,86343,83799,82237,80594,79705,77564,75063
522320,IA,1176,1088,975,928,818,787,737,1102,1237,890,814
54151,IA,7380,6235,6160,6195,5553,4927,4793,4636,4220,5101,4810
611420,IA,0,0,0,0,0,248,205,164,0,0,*
811212,IA,276,286,311,288,261,247,223,177,196,210,470
811213,IA,228,233,238,237,237,251,251,258,217,242,246
10,KS,2845881,2884423,2982783,2959107,2897080,2849079,2830996,2805309,2845182,2875837,2857792
11,KS,9948,9743,9618,9523,9528,9635,8994,8935,8874,8661,8515
323115,KS,1061,830,471,413,374,104,0,0,0,0,24
33411,KS,177,182,211,221,895,805,874,769,688,760,770
334611,KS,0,0,0,0,0,0,0,0,0,19,*
423430,KS,1278,1293,1443,1438,1313,821,1329,1378,1531,1627,1526
425110,KS,243,238,277,363,414,312,377,407,465,501,493
443120,KS,813,887,1003,1698,1767,1793,2051,2023,2140,2465,2632
454111,KS,714,850,650,483,0,0,0,0,0,222,*
51,KS,31369,36741,40857,42923,41253,41407,43484,48726,52525,53637,49159
511210,KS,1563,1487,1532,1332,1225,1430,965,761,856,1092,1256
518,KS,1449,1988,2124,2253,2455,2321,2069,2127,3259,3327,3630
519130,KS,144,181,186,96,*,*,*,*,*,*,*
52,KS,54919,55973,57506,58045,56551,55107,54877,54948,54071,52371,50538
522320,KS,347,342,259,235,210,197,150,129,136,135,129
54151,KS,9751,9614,9793,9104,8695,8030,9061,9358,8808,10233,9366
611420,KS,0,155,130,118,120,159,170,164,0,0,*
811212,KS,395,443,477,521,486,526,687,692,728,716,663
811213,KS,177,210,233,411,379,294,264,274,146,167,238
10,KY,3733013,3723229,3882593,3904253,3854292,3809982,3748017,3718972,3728076,3761742,3801026
11,KY,7676,7939,8119,7872,7657,7359,7293,7287,7570,8028,8043
323115,KY,309,312,0,345,331,329,322,280,284,293,299
33411,KY,0,0,0,0,0,0,0,0,0,0,*
334611,KY,0,0,0,0,0,*,*,*,0,0,*
423430,KY,1228,1196,1172,1428,1478,1516,1548,1413,1403,1478,1587
425110,KY,386,426,441,390,384,372,449,1115,1354,1424,1824
443120,KY,0,938,1063,1181,1407,1483,1509,1746,1939,2377,2934
454111,KY,558,428,435,382,262,0,0,146,0,0,*
51,KY,28769,29651,32268,32425,31986,31387,31221,32479,33753,35256,35001
511210,KY,333,359,392,423,503,518,476,421,428,459,442
518,KY,5005,4895,6260,6255,7152,6609,6200,7515,8010,9149,8843
519130,KY,301,282,281,254,*,*,*,*,*,*,*
52,KY,67064,69194,71378,72697,70234,67342,66214,64636,63519,61477,61395
522320,KY,5845,6111,6480,6233,5887,5705,5771,5491,4405,2384,1682
54151,KY,12402,12498,11518,9154,8258,7894,7415,7555,7496,7684,7814
611420,KY,0,0,0,0,0,432,0,0,0,0,*
811212,KY,658,663,803,968,999,937,870,1015,1192,1235,1327
811213,KY,711,798,957,1099,998,790,535,444,384,321,297
10,LA,4015861,4051371,4128468,4078816,3947887,4040053,4095076,4073480,4054507,4096081,4094283
11,LA,9338,9257,9984,10349,10719,11416,11844,11983,12047,12552,12793
323115,LA,302,279,246,245,240,213,217,233,200,203,209
33411,LA,37,0,28,25,0,0,0,0,0,0,*
334611,LA,0,0,15,16,14,17,20,0,75,97,73
423430,LA,966,975,967,942,872,956,973,1165,1193,1338,1504
425110,LA,278,353,407,414,355,402,575,797,933,838,1052
