OCC,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
15-1099,DE,*,250,240,230,210,150,150,*,*,*,*
15-1111,DE,80,*,*,*,*,*,*,*,*,*,*
15-1121,DE,2850,*,*,*,*,*,*,*,*,*,*
15-1131,DE,1180,*,*,*,*,*,*,*,*,*,*
15-1132,DE,1840,*,*,*,*,*,*,*,*,*,*
15-1133,DE,1240,*,*,*,*,*,*,*,*,*,*
15-1141,DE,550,*,*,*,*,*,*,*,*,*,*
15-1142,DE,850,*,*,*,*,*,*,*,*,*,*
15-1150,DE,2020,*,*,*,*,*,*,*,*,*,*
15-1179,DE,900,*,*,*,*,*,*,*,*,*,*
15-1799,DE,170,*,*,*,*,*,*,*,*,*,*
15-2031,DE,210,210,350,400,450,440,400,*,*,300,360
17-0000,DE,7230,6990,7880,7520,-1,6560,6260,5430,5250,5520,5770
17-2061,DE,-1,-1,-1,-1,-1,-1,30,-1,40,30,-1
17-2112,DE,620,630,690,610,620,670,550,370,590,500,590
17-3026,DE,120,170,220,240,210,150,190,100,150,210,-1
19-0000,DE,5310,7880,8290,7920,7280,6330,6560,6990,6270,6680,6340
25-1021,DE,*,*,*,130,120,110,110,90,110,100,100
27-0000,DE,3700,3990,3890,4580,4660,-1,3340,2970,3210,2640,3100
27-1014,DE,*,-1,-1,-1,*,*,*,*,*,*,-1
27-1024,DE,400,480,410,410,410,390,260,290,290,330,370
27-3042,DE,110,120,120,100,110,100,70,70,100,50,80
29-2071,DE,430,410,400,490,490,480,490,280,300,270,250
41-4011,DE,1630,1600,1270,1170,1070,850,1000,1140,1030,1010,1050
43-9011,DE,540,350,540,620,610,620,530,630,560,720,810
43-9021,DE,1000,1100,1230,1150,1020,950,1100,990,1570,1780,1860
43-9031,DE,50,40,40,*,40,30,40,60,50,50,70
45-0000,DE,720,720,790,750,930,760,870,780,860,950,1250
49-2011,DE,230,180,260,470,560,460,400,440,280,450,540
51-4011,DE,100,160,180,190,90,90,80,*,*,*,-1
11-3021,DC,3640,3490,3080,3150,3060,3010,3290,2930,1890,2370,2590
13-0000,DC,89380,81250,78850,74070,69820,63780,62390,63650,61780,60140,57050
13-1081,DC,830,670,810,700,690,130,220,*,*,*,*
13-1111,DC,15760,14150,15240,14160,12860,16560,16410,18150,17060,17050,16820
15-0000,DC,33180,33450,34200,34320,33710,32050,32740,28490,26130,24030,22600
15-1011,DC,*,330,350,400,390,440,400,420,420,580,670
15-1021,DC,*,2820,2670,2770,2660,2910,3130,2930,3430,2890,2250
15-1031,DC,*,3110,3770,4250,3180,2690,3670,2180,1690,1230,740
15-1032,DC,*,1790,2050,2250,2070,2500,2550,2280,1330,1470,-1
15-1041,DC,*,3970,3750,3950,4280,4060,3730,3770,3160,2520,2620
15-1051,DC,*,3770,3730,3750,4260,10350,10510,9570,8830,7480,7520
15-1061,DC,*,1390,1690,1640,1570,1300,1230,940,1210,1070,1160
15-1071,DC,*,4000,4520,4140,4120,3520,3230,2500,2040,1780,1550
15-1081,DC,*,2220,2350,1720,1870,1760,1730,1280,1120,810,790
15-1099,DC,*,7760,7290,7340,7410,550,710,*,*,*,*
15-1111,DC,280,*,*,*,*,*,*,*,*,*,*
15-1121,DC,3150,*,*,*,*,*,*,*,*,*,*
15-1131,DC,2490,*,*,*,*,*,*,*,*,*,*
15-1132,DC,2530,*,*,*,*,*,*,*,*,*,*
15-1133,DC,1470,*,*,*,*,*,*,*,*,*,*
15-1141,DC,1400,*,*,*,*,*,*,*,*,*,*
15-1142,DC,3930,*,*,*,*,*,*,*,*,*,*
15-1150,DC,4350,*,*,*,*,*,*,*,*,*,*
15-1179,DC,2640,*,*,*,*,*,*,*,*,*,*
15-1799,DC,8140,*,*,*,*,*,*,*,*,*,*
15-2031,DC,1660,1190,1050,1110,910,1020,870,870,770,670,740
17-0000,DC,12570,12330,12290,10960,11820,12510,12430,13640,12430,13370,12250
17-2061,DC,-1,770,610,230,320,350,-1,-1,-1,-1,210
17-2112,DC,320,290,480,380,420,-1,240,200,200,200,120
17-3026,DC,110,*,*,140,-1,-1,-1,*,*,*,*
19-0000,DC,18770,21620,22520,22580,23360,24430,21970,18940,18100,19640,19910
25-1021,DC,240,270,250,240,290,270,250,150,150,160,140
